Elements;insertBT;deleteBT;findBT;equalBT;isBT;milliSec;0;1000;20;5;ab
11;0;0;0;0;0
1011;18;0;2;7;0
2011;67;0;10;27;0
3011;151;1;22;61;0
4011;270;0;40;109;1
5011;424;2;63;175;0
6011;611;2;95;251;1
7011;835;2;122;341;0
8011;1581;4;169;694;0
9011;1648;3;217;940;1
10011;2085;3;253;1156;0
11011;2706;3;319;1446;1
12011;3263;2;391;1689;1
13011;4070;6;496;1647;1
14011;4906;4;535;1952;1
15011;5694;3;604;2312;1
16011;6370;10;727;2716;2
17011;7150;4;766;3188;1
18011;7982;8;895;3714;1
19011;8832;7;951;4216;1
