Elements;insertBT;deleteBT;findBT;equalBT;isBT;milliSec;0;10000;50;10;rand
11;0;0;0;0;0
10011;7;5;2;2;1
20011;17;12;4;4;2
30011;29;19;7;8;2
40011;42;29;9;10;4
50011;66;45;13;17;4
60011;76;51;15;18;5
70011;93;61;18;25;6
80011;101;66;22;27;7
90011;130;84;27;32;7
100011;153;94;33;37;9
110011;179;114;37;42;9
120011;182;119;40;40;11
130011;213;128;45;46;11
140011;252;155;52;49;12
150011;250;159;58;58;12
160011;256;169;59;57;14
170011;284;184;66;59;14
180011;307;184;72;68;16
190011;316;207;76;62;16
200011;350;216;77;61;17
210011;372;239;89;75;20
220011;394;250;91;84;18
230011;431;263;102;81;19
240011;465;306;116;90;19
250011;457;287;111;95;21
260011;480;313;120;93;26
270011;504;303;118;100;23
280011;503;316;122;95;23
290011;552;350;129;122;23
300011;555;338;134;112;23
310011;605;382;140;108;26
320011;612;391;151;119;27
330011;648;385;151;107;29
340011;656;387;161;137;26
350011;689;426;173;134;29
360011;709;453;185;133;31
370011;747;466;183;148;31
380011;779;492;198;152;32
390011;803;502;198;142;33
400011;830;507;207;184;33
410011;831;505;218;166;32
420011;896;555;230;155;37
430011;972;591;231;192;36
440011;911;539;217;165;36
450011;973;606;252;171;39
460011;989;605;241;190;36
470011;946;618;239;178;40
480011;1035;637;269;211;37
490011;1039;628;268;208;41
