Elements;hsort;milliSec;10000;10000;100;20;auf
10000;20
20000;49
30000;78
40000;105
50000;140
60000;170
70000;201
80000;237
90000;265
100000;295
110000;327
120000;358
130000;386
140000;421
150000;456
160000;487
170000;517
180000;550
190000;589
200000;619
210000;643
220000;681
230000;717
240000;749
250000;769
260000;808
270000;841
300000;941
400000;1282
500000;1618
600000;1969
700000;2321
800000;2681
900000;3046
1000000;3392
1100000;3774
2000000;7289
3000000;11374
4000000;15047
5000000;18806
6000000;23632
7000000;27564
8000000;31332
9000000;35207
10000000;39567
11000000;43467
12000000;47959
13000000;52153
