Elements;qsort;milliSec;500000;100000;40;20;rand;left;0
10100;3
20100;8
30100;13
40100;16
50100;23
60100;26
70100;30
80100;36
90100;39
100000;49
200000;91
300000;138
400000;190
500000;252
600000;311
700000;351
800000;396
900000;472
1000000;500
1100000;555
1200000;606
1300000;671
1400000;745
1500000;840
1600000;839
1700000;905
1800000;976
1900000;1018
2000000;1111
3000000;1740
4000000;2171
5000000;2922
6000000;3413
7000000;4069
8000000;4629
9000000;5206
10000000;5802
20000000;12142
30000000;20421
40000000;25655
50000000;31164
60000000;38368
70000000;48661
